Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Cacak,5187,Valid,OC,212.0,,43.83889,20.33333,"[20, 43]"
Cali,45976,Valid,H/L4,478.0,,3.405,-76.51,"[-76, 3]"
Calivo,5200,Valid,Stone-uncl,2400.0,,11.75,122.33333,"[122, 11]"
Campos Sales,5249,Valid,L5,23680.0,,-7.03333,-40.16667,"[-40, -7]"
Çanakkale,5250,Valid,L6,4000.0,,39.8,26.6,"[26, 39]"
Cañellas,5251,Valid,H4,945.0,,41.25,1.66667,"[1, 41]"
Cangas de Onis,5252,Valid,H5,34000.0,,43.38333,-5.15,"[-5, 43]"
Canon City,5253,Valid,H6,1400.0,,38.47028,-105.24139,"[-105, 38]"
Cape Girardeau,5260,Valid,H6,2300.0,,37.26667,-89.58333,"[-89, 37]"
Capilla del Monte,5264,Valid,H6,750.0,,-30.88333,-64.55,"[-64, -30]"
Carancas,45817,Valid,H4-5,342.0,,-16.66444,-69.04389,"[-69, -16]"
Caratash,5265,Valid,LL6,8.0,,38.5,27.0,"[27, 38]"
Castalia,5291,Valid,H5,7300.0,,36.08333,-78.06667,"[-78, 36]"
Castel Berardenga,5292,Valid,Stone-uncl,,,43.35,11.5,"[11, 43]"
Castine,5293,Valid,L6,94.0,,44.38333,-68.75,"[-68, 44]"
Castrovillari,5295,Valid,Stone-uncl,15000.0,,39.8,16.2,"[16, 39]"
Caswell County,5296,Valid,OC,1360.0,,36.5,-79.25,"[-79, 36]"
Ceniceros,5306,Valid,L3.7,1025.0,,26.46667,-105.23333,"[-105, 26]"
Centerville,5307,Valid,H5,45.6,,43.2,-96.91667,"[-96, 43]"
Cereseto,5308,Valid,H5,6460.0,,45.08333,8.3,"[8, 45]"
Chadong,5313,Valid,L6,3700.0,,28.53333,109.31667,"[109, 28]"
Chail,5314,Valid,H6,0.5,,25.36667,81.66667,"[81, 25]"
Chainpur,5315,Valid,LL3.4,8200.0,,25.85,83.48333,"[83, 25]"
Chajari,5316,Valid,L5,18300.0,,-30.78333,-58.05,"[-58, -30]"
Chandakapur,5320,Valid,L5,8800.0,,20.26667,76.01667,"[76, 20]"
Chandpur,5321,Valid,L6,1100.0,,27.28333,79.05,"[79, 27]"
Changde,5322,Valid,H5,1810.0,,29.08333,111.75,"[111, 29]"
Chantonnay,5325,Valid,L6,31500.0,,46.68333,1.05,"[1, 46]"
Charlotte,5328,Valid,"Iron, IVA",4300.0,,36.16667,-87.33333,"[-87, 36]"
Charsonville,5329,Valid,H6,27000.0,,47.93333,1.56667,"[1, 47]"
Charwallas,5330,Valid,H6,12000.0,,29.48333,75.5,"[75, 29]"
Chassigny,5331,Valid,Martian (chassignite),4000.0,,47.71667,5.36667,"[5, 47]"
Château-Renard,5332,Valid,L6,30000.0,,47.93333,2.91667,"[2, 47]"
Chaves,5334,Valid,Howardite,2945.0,,41.93333,-7.46667,"[-7, 41]"
Chela,5338,Valid,H4,2936.0,,-3.66667,32.5,"[32, -3]"
Chelyabinsk,57165,Valid,LL5,100000.0,,54.81667,61.11667,"[61, 54]"
Chergach ,47347,Valid,H5,100000.0,,23.69639,-5.01472,"[-5, 23]"
Chernyi Bor,5339,Valid,H4,6000.0,,53.7,30.1,"[30, 53]"
Cherokee Springs,5340,Valid,LL6,8400.0,,35.03333,-81.88333,"[-81, 35]"
Chervettaz,5341,Valid,L5,705.0,,46.55,6.81667,"[6, 46]"
Chervony Kut,5342,Valid,Eucrite-mmict,1700.0,,50.83333,34.0,"[34, 50]"
Chetrinahatti,5344,Valid,Stone-uncl,72.0,,14.5,76.5,"[76, 14]"
Chiang Khan,5345,Valid,H6,367.0,,17.9,101.63333,"[101, 17]"
Chicora,5349,Valid,LL6,303.0,,40.93333,-79.73333,"[-79, 40]"
