Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Tennasilm,23898,Valid,L4,28500.0,,58.03333,26.95,"[26, 58]"
Thal,23908,Valid,H6,342.0,,33.4,70.6,"[70, 33]"
Thika,54493,Valid,L6,14200.0,,-1.00278,37.15028,"[37, -1]"
Thuathe,23976,Valid,H4/5,45300.0,,-29.33333,27.58333,"[27, -29]"
Tianzhang,23984,Valid,H5,2232.0,,32.94667,118.99,"[118, 32]"
Tieschitz,23989,Valid,H/L3.6,28000.0,,49.6,17.11667,"[17, 49]"
Tilden,23998,Valid,L6,74800.0,,38.2,-89.68333,"[-89, 38]"
Tillaberi,23999,Valid,L6,3000.0,,14.25,1.53333,"[1, 14]"
Timochin,24004,Valid,H5,65500.0,,54.5,35.2,"[35, 54]"
Tirupati,24009,Valid,H6,230.0,,13.63333,79.41667,"[79, 13]"
Tissint,54823,Valid,Martian (shergottite),7000.0,,29.48195,-7.61123,"[-7, 29]"
Tjabe,24011,Valid,H6,20000.0,,-7.08333,111.53333,"[111, -7]"
Tjerebon,24012,Valid,L5,16500.0,,-6.66667,106.58333,"[106, -6]"
Tomakovka,24019,Valid,LL6,600.0,,47.85,34.76667,"[34, 47]"
